Image,Left_Eye_Right_Eye/Eye_Nose,Left_Eye_Right_Eye/Eye_Mouth,Left_Eye_Right_Eye/Eye_Chin,Eye_Nose/Eye_Mouth,Eye_Mouth/Eye_Chin,Virtual_Top_Head/Eye_Chin,Age_Class
12596800_1920-10-18_1955.jpg,1.17,0.67,0.45,1.00,0.00,1.00,3
12611800_1950-08-17_2011.jpg,1.64,0.94,0.56,1.00,0.00,1.00,6
12676100_1969-01-27_2014.jpg,1.31,0.86,0.53,1.00,0.00,1.00,4
12686100_1890-02-27_1941.jpg,1.39,0.86,0.55,1.00,0.00,1.00,5
1285200_1975-01-05_2009.jpg,1.38,0.82,0.50,1.00,0.00,1.00,3
12889900_1980-12-02_2013.jpg,1.33,0.91,0.60,1.00,0.00,1.00,3
13016000_1987-01-20_2009.jpg,1.37,0.99,0.52,1.00,0.00,1.00,2
13118700_1986-11-17_2012.jpg,1.33,0.83,0.49,1.00,0.00,1.00,2
1315300_1965-09-09_2015.jpg,1.33,0.83,0.49,1.00,0.00,1.00,4
1315300_1965-09-09_2015.jpg,1.85,1.03,0.75,1.00,0.00,1.00,4
1315300_1965-09-09_2015.jpg,1.24,0.79,0.52,1.00,0.00,1.00,4
1315300_1965-09-09_2015.jpg,1.31,0.79,0.51,1.00,0.00,1.00,4
13235200_1935-04-20_1964.jpg,1.39,0.80,0.49,1.00,0.00,1.00,2
13304100_1949-03-08_2008.jpg,1.52,0.91,0.55,1.00,0.00,1.00,5
1333800_1979-04-09_2001.jpg,1.01,0.65,0.41,1.00,0.00,1.00,2
1335100_1954-09-18_2007.jpg,1.51,1.00,0.63,1.00,0.00,1.00,5
13612600_1944-01-28_1971.jpg,1.12,0.83,0.50,1.00,0.00,1.00,2
1363900_1978-02-02_2010.jpg,1.33,1.04,0.53,1.00,0.00,1.00,3
1372000_1971-12-02_2009.jpg,1.33,1.04,0.53,1.00,0.00,1.00,3
1372000_1971-12-02_2009.jpg,1.16,0.90,0.51,1.00,0.00,1.00,3
14007800_1983-05-06_2015.jpg,1.16,0.90,0.51,1.00,0.00,1.00,3
14045000_1908-06-24_2002.jpg,1.35,0.86,0.57,1.00,0.00,1.00,8
14107900_1986-09-14_2010.jpg,1.35,0.86,0.57,1.00,0.00,1.00,2
1422400_1958-01-07_1987.jpg,1.14,0.84,0.53,1.00,0.00,1.00,2
14248600_1960-02-06_1984.jpg,1.46,0.92,0.47,1.00,0.00,1.00,2
1427800_1932-05-08_2005.jpg,1.14,0.75,0.50,1.00,0.00,1.00,7
14393400_1914-05-02_1961.jpg,1.14,0.75,0.50,1.00,0.00,1.00,4
14393400_1914-05-02_1961.jpg,1.14,0.75,0.50,1.00,0.00,1.00,4
14393400_1914-05-02_1961.jpg,1.14,0.75,0.50,1.00,0.00,1.00,4
14429000_1885-11-19_1941.jpg,1.24,0.81,0.51,1.00,0.00,1.00,5
1479500_1962-10-04_2011.jpg,1.49,0.87,0.55,1.00,0.00,1.00,4
15208300_1974-06-02_2011.jpg,1.49,0.87,0.55,1.00,0.00,1.00,3
15340800_1989-07-13_2008.jpg,1.36,0.90,0.54,1.00,0.00,1.00,1
1536200_1982-06-25_2014.jpg,1.29,0.87,0.54,1.00,0.00,1.00,3
15446600_1975-09-14_2005.jpg,1.61,0.87,0.53,1.00,0.00,1.00,2
15472000_1979-03-07_2015.jpg,1.29,0.87,0.52,1.00,0.00,1.00,3
15515600_1954-01-22_2006.jpg,1.25,0.77,0.49,1.00,0.00,1.00,5
1554700_1965-12-07_2013.jpg,2.40,1.11,0.64,1.00,0.00,1.00,4
15550600_1973-11-01_2000.jpg,1.73,1.24,0.61,1.00,0.00,1.00,2
1578500_1919-06-14_1959.jpg,1.32,0.91,0.55,1.00,0.00,1.00,3
1591900_1970-04-13_2007.jpg,1.50,0.90,0.60,1.00,0.00,1.00,3
1638200_1931-01-30_2007.jpg,1.28,1.05,0.56,1.00,0.00,1.00,7
1653100_1980-01-25_2008.jpg,1.67,0.84,0.56,1.00,0.00,1.00,2
16642400_1989-09-30_2010.jpg,1.67,0.84,0.56,1.00,0.00,1.00,2
1687000_1932-12-12_1962.jpg,1.14,0.80,0.48,1.00,0.00,1.00,2
1694300_1928-03-16_1960.jpg,1.84,0.95,0.58,1.00,0.00,1.00,3
1698400_1958-12-10_2008.jpg,1.31,0.85,0.51,1.00,0.00,1.00,4
1716100_1958-02-13_2013.jpg,1.60,1.03,0.57,1.00,0.00,1.00,5
1741200_1967-06-28_2012.jpg,1.64,1.04,0.58,1.00,0.00,1.00,4
17470000_1985-09-13_2009.jpg,1.50,0.96,0.64,1.00,0.00,1.00,2
17509100_1945-02-09_2005.jpg,1.76,1.18,0.66,1.00,0.00,1.00,5
17560900_1982-06-05_2009.jpg,1.76,1.18,0.66,1.00,0.00,1.00,2
1765800_1933-06-27_1951.jpg,1.35,0.97,0.58,1.00,0.00,1.00,1
1765800_1933-06-27_1951.jpg,1.36,0.94,0.55,1.00,0.00,1.00,1
176900_1936-03-20_2013.jpg,1.36,0.94,0.55,1.00,0.00,1.00,7
1778000_1960-01-17_2014.jpg,1.39,0.89,0.46,1.00,0.00,1.00,5
1806600_1981-03-30_2011.jpg,1.34,0.95,0.55,1.00,0.00,1.00,2
1836500_1984-01-31_2015.jpg,1.01,0.69,0.45,1.00,0.00,1.00,3
18407100_1917-10-18_1958.jpg,1.52,0.95,0.61,1.00,0.00,1.00,4
1859900_1911-03-21_1969.jpg,1.38,0.99,0.54,1.00,0.00,1.00,5
1859900_1911-03-21_1969.jpg,1.59,1.09,0.62,1.00,0.00,1.00,5
18763900_1943-01-23_2008.jpg,1.44,0.96,0.53,1.00,0.00,1.00,6
18890000_1975-04-01_2009.jpg,1.39,0.91,0.58,1.00,0.00,1.00,3
18890700_1918-10-07_1974.jpg,1.43,0.91,0.53,1.00,0.00,1.00,5
1896500_1978-05-08_2009.jpg,1.43,0.91,0.53,1.00,0.00,1.00,3
18969800_1957-12-10_2009.jpg,1.43,0.91,0.53,1.00,0.00,1.00,5
18994300_1930-08-19_2007.jpg,1.41,0.99,0.60,1.00,0.00,1.00,7
19017900_1982-02-03_2015.jpg,1.35,0.93,0.61,1.00,0.00,1.00,3
19114800_1921-10-22_2009.jpg,1.30,1.02,0.52,1.00,0.00,1.00,8
1915100_1957-07-20_1990.jpg,1.77,1.16,0.71,1.00,0.00,1.00,3
19248600_1958-05-25_2015.jpg,1.36,0.99,0.54,1.00,0.00,1.00,5
19544100_1906-01-11_1993.jpg,1.27,0.90,0.49,1.00,0.00,1.00,8
19624300_1989-08-10_2010.jpg,1.55,1.00,0.56,1.00,0.00,1.00,2
19624300_1989-08-10_2010.jpg,1.37,1.07,0.52,1.00,0.00,1.00,2
1967700_1977-04-13_2012.jpg,1.35,0.81,0.53,1.00,0.00,1.00,3
196900_1884-05-20_1940.jpg,1.26,0.98,0.48,1.00,0.00,1.00,5
19792500_1978-10-10_2009.jpg,1.94,1.06,0.69,1.00,0.00,1.00,3
1979400_1978-03-21_2005.jpg,1.94,1.06,0.69,1.00,0.00,1.00,2
19910800_1991-06-26_2011.jpg,1.22,0.92,0.63,1.00,0.00,1.00,1
20166800_1974-08-01_2012.jpg,1.22,0.92,0.63,1.00,0.00,1.00,3
20562000_1984-06-27_2013.jpg,1.45,0.85,0.63,1.00,0.00,1.00,2
20613200_1990-03-09_2014.jpg,1.93,0.96,0.63,1.00,0.00,1.00,2
208200_1921-11-03_1966.jpg,1.50,0.89,0.55,1.00,0.00,1.00,4
20834100_1986-02-15_2009.jpg,1.41,0.84,0.56,1.00,0.00,1.00,2
2085000_1966-07-12_2011.jpg,1.83,1.12,0.68,1.00,0.00,1.00,4
2093100_1980-07-16_2013.jpg,1.22,0.85,0.51,1.00,0.00,1.00,3
2141000_1982-10-31_2008.jpg,1.38,0.87,0.54,1.00,0.00,1.00,2
21452700_1989-04-03_2012.jpg,1.23,1.04,0.56,1.00,0.00,1.00,2
21501500_1980-04-24_2009.jpg,1.60,0.93,0.49,1.00,0.00,1.00,2
21581300_1981-03-03_2009.jpg,1.60,0.93,0.49,1.00,0.00,1.00,2
21581300_1981-03-03_2009.jpg,1.43,0.90,0.53,1.00,0.00,1.00,2
21718500_1986-06-01_2010.jpg,1.29,0.89,0.51,1.00,0.00,1.00,2
21746300_1979-08-04_2009.jpg,0.99,0.73,0.42,1.00,0.00,1.00,2
21750900_1984-06-06_2009.jpg,1.50,0.95,0.56,1.00,0.00,1.00,2
21988100_1911-06-11_1941.jpg,1.19,0.81,0.52,1.00,0.00,1.00,2
22015000_1925-01-12_2003.jpg,1.63,0.98,0.61,1.00,0.00,1.00,7
2202900_1919-04-24_1999.jpg,1.61,1.04,0.58,1.00,0.00,1.00,7
2232500_1961-08-22_2007.jpg,1.50,0.91,0.55,1.00,0.00,1.00,4
2233200_1977-06-26_2008.jpg,1.58,0.99,0.66,1.00,0.00,1.00,3
2233200_1977-06-26_2008.jpg,2.05,1.00,0.58,1.00,0.00,1.00,3
22520700_1975-02-02_2012.jpg,1.56,0.92,0.59,1.00,0.00,1.00,3
22520700_1975-02-02_2012.jpg,1.59,0.95,0.60,1.00,0.00,1.00,3
22520700_1975-02-02_2012.jpg,1.59,0.95,0.60,1.00,0.00,1.00,3
22675200_1981-09-28_2009.jpg,1.57,0.88,0.55,1.00,0.00,1.00,2
2277500_1976-11-04_2009.jpg,1.47,0.90,0.56,1.00,0.00,1.00,3
22822500_1867-12-04_1940.jpg,1.58,0.96,0.64,1.00,0.00,1.00,7
22945600_1991-05-17_2012.jpg,0.72,0.49,0.36,1.00,0.00,1.00,2
2295300_1891-01-10_1960.jpg,1.25,0.80,0.52,1.00,0.00,1.00,6
22964300_1952-04-12_1968.jpg,1.25,0.80,0.52,1.00,0.00,1.00,1
2298900_1966-09-07_2003.jpg,1.61,1.09,0.66,1.00,0.00,1.00,3
2301200_1981-10-22_2011.jpg,1.39,0.90,0.54,1.00,0.00,1.00,2
23300_1962-06-19_2011.jpg,1.39,0.90,0.54,1.00,0.00,1.00,4
23497100_1983-02-21_2013.jpg,1.29,0.91,0.47,1.00,0.00,1.00,2
2376100_1975-12-11_2006.jpg,1.42,0.86,0.66,1.00,0.00,1.00,3
23804200_1950-03-31_2013.jpg,1.71,0.96,0.61,1.00,0.00,1.00,6
24051800_1974-11-16_2013.jpg,1.32,0.91,0.47,1.00,0.00,1.00,3
2442300_1980-06-23_2012.jpg,1.32,0.91,0.47,1.00,0.00,1.00,3
24434700_1960-04-21_1997.jpg,1.69,0.92,0.70,1.00,0.00,1.00,3
24503600_1990-05-22_2011.jpg,1.40,0.95,0.58,1.00,0.00,1.00,2
2452600_1967-08-22_2013.jpg,1.91,1.25,0.63,1.00,0.00,1.00,4
24594000_1983-09-18_2013.jpg,1.91,1.25,0.63,1.00,0.00,1.00,2
2470900_1956-06-04_2012.jpg,1.91,1.25,0.63,1.00,0.00,1.00,5
24746800_1990-07-24_2012.jpg,1.41,0.89,0.60,1.00,0.00,1.00,2
24817400_1984-10-25_2011.jpg,1.29,0.81,0.56,1.00,0.00,1.00,2
2490600_1970-02-04_2013.jpg,1.33,0.84,0.52,1.00,0.00,1.00,4
24910700_1912-07-10_1941.jpg,1.33,0.84,0.52,1.00,0.00,1.00,2
2494800_1977-11-27_2005.jpg,1.36,1.04,0.58,1.00,0.00,1.00,2
24973700_1951-03-22_2008.jpg,1.15,0.88,0.54,1.00,0.00,1.00,5
25082400_1983-01-27_2011.jpg,1.13,0.79,0.49,1.00,0.00,1.00,2
25082400_1983-01-27_2011.jpg,1.37,0.81,0.59,1.00,0.00,1.00,2
25168600_1990-08-16_2014.jpg,1.37,0.81,0.59,1.00,0.00,1.00,2
25192500_1989-02-25_2013.jpg,1.45,0.90,0.51,1.00,0.00,1.00,2
2569000_1972-07-04_2007.jpg,1.21,0.87,0.50,1.00,0.00,1.00,3
25753700_1986-07-23_2011.jpg,1.69,1.03,0.60,1.00,0.00,1.00,2
25910800_1987-08-11_2009.jpg,1.53,0.90,0.50,1.00,0.00,1.00,2
25947000_1974-08-30_2013.jpg,1.86,1.02,0.59,1.00,0.00,1.00,3
2612500_1977-03-26_2009.jpg,1.28,0.84,0.48,1.00,0.00,1.00,3
2616800_1939-09-14_2007.jpg,1.35,0.92,0.51,1.00,0.00,1.00,6
262800_1943-04-06_2011.jpg,1.83,0.88,0.56,1.00,0.00,1.00,6
26457400_1918-05-17_1952.jpg,1.44,0.88,0.49,1.00,0.00,1.00,3
26553500_1986-04-23_2010.jpg,2.24,1.04,0.64,1.00,0.00,1.00,2
2669900_1933-07-29_1968.jpg,1.04,0.80,0.51,1.00,0.00,1.00,3
2690900_1963-03-12_2010.jpg,1.38,0.88,0.48,1.00,0.00,1.00,4
2690900_1963-03-12_2010.jpg,1.58,0.93,0.56,1.00,0.00,1.00,4
2690900_1963-03-12_2010.jpg,1.50,0.81,0.51,1.00,0.00,1.00,4
2690900_1963-03-12_2010.jpg,1.22,0.84,0.52,1.00,0.00,1.00,4
2690900_1963-03-12_2010.jpg,1.52,0.97,0.57,1.00,0.00,1.00,4
2690900_1963-03-12_2010.jpg,1.80,1.01,0.66,1.00,0.00,1.00,4
2690900_1963-03-12_2010.jpg,1.24,0.84,0.55,1.00,0.00,1.00,4
2690900_1963-03-12_2010.jpg,1.28,0.82,0.50,1.00,0.00,1.00,4
2690900_1963-03-12_2010.jpg,0.99,0.71,0.44,1.00,0.00,1.00,4
27104100_1989-04-02_2011.jpg,1.57,0.94,0.58,1.00,0.00,1.00,2
27210600_1960-06-10_2012.jpg,1.87,1.05,0.59,1.00,0.00,1.00,5
2736100_1946-12-02_1969.jpg,1.43,1.05,0.68,1.00,0.00,1.00,2
28054200_1991-01-18_2013.jpg,1.76,0.88,0.54,1.00,0.00,1.00,2
2808300_1963-09-19_2009.jpg,1.51,0.92,0.57,1.00,0.00,1.00,4
28096900_1951-03-21_1976.jpg,1.41,0.98,0.55,1.00,0.00,1.00,2
28284200_1993-01-04_2011.jpg,1.41,0.98,0.55,1.00,0.00,1.00,1
28300000_1988-05-17_2009.jpg,1.35,0.82,0.54,1.00,0.00,1.00,2
28423700_1887-04-27_1946.jpg,1.34,0.85,0.50,1.00,0.00,1.00,5
2851600_1963-04-24_2010.jpg,1.14,0.76,0.48,1.00,0.00,1.00,4
28626100_1992-09-27_2012.jpg,2.42,1.21,0.76,1.00,0.00,1.00,1
28728600_1986-11-11_2009.jpg,2.42,1.21,0.76,1.00,0.00,1.00,2
28892600_1995-02-06_2013.jpg,1.69,1.05,0.65,1.00,0.00,1.00,1
28987400_1895-10-14_1945.jpg,1.43,0.90,0.63,1.00,0.00,1.00,4
29379600_1982-01-04_2009.jpg,2.10,1.11,0.67,1.00,0.00,1.00,2
29379600_1982-01-04_2009.jpg,2.10,1.11,0.67,1.00,0.00,1.00,2
2991300_1982-04-03_2014.jpg,1.54,0.98,0.53,1.00,0.00,1.00,3
30092400_1905-06-20_1980.jpg,1.59,0.96,0.54,1.00,0.00,1.00,7
30335800_1979-12-28_2014.jpg,1.60,1.11,0.56,1.00,0.00,1.00,3
3046100_1983-08-26_2010.jpg,1.40,0.87,0.52,1.00,0.00,1.00,2
305500_1940-09-18_1963.jpg,1.48,1.07,0.55,1.00,0.00,1.00,2
30560000_1948-02-27_1980.jpg,1.51,0.96,0.51,1.00,0.00,1.00,3
3063200_1976-06-29_2014.jpg,1.55,1.00,0.57,1.00,0.00,1.00,3
30782100_1992-09-07_2013.jpg,1.47,0.91,0.49,1.00,0.00,1.00,2
31010400_1981-09-15_2014.jpg,1.25,0.84,0.55,1.00,0.00,1.00,3
311200_1943-09-21_2013.jpg,1.57,1.05,0.56,1.00,0.00,1.00,6
3119000_1938-05-17_1977.jpg,1.32,0.84,0.54,1.00,0.00,1.00,3
3119000_1938-05-17_1977.jpg,1.32,0.84,0.54,1.00,0.00,1.00,3
311900_1959-03-29_2010.jpg,1.37,1.07,0.55,1.00,0.00,1.00,5
3127100_1978-05-11_2008.jpg,1.88,1.06,0.66,1.00,0.00,1.00,2
31380000_1968-08-24_2015.jpg,1.88,1.06,0.66,1.00,0.00,1.00,4
3147600_1980-06-13_2012.jpg,1.58,0.95,0.54,1.00,0.00,1.00,3
31588300_1985-01-01_2011.jpg,1.58,0.89,0.50,1.00,0.00,1.00,2
31632200_1973-12-18_2014.jpg,1.58,0.89,0.50,1.00,0.00,1.00,4
31669100_1988-06-17_2012.jpg,1.08,0.66,0.44,1.00,0.00,1.00,2
3167900_1943-03-13_1966.jpg,1.32,0.88,0.57,1.00,0.00,1.00,2
3167900_1943-03-13_1966.jpg,1.32,0.88,0.57,1.00,0.00,1.00,2
32161100_1986-05-01_2011.jpg,1.32,0.88,0.57,1.00,0.00,1.00,2
32285300_1986-10-17_2010.jpg,1.33,0.94,0.55,1.00,0.00,1.00,2
32357000_1877-06-13_1950.jpg,1.33,0.94,0.55,1.00,0.00,1.00,7
32403100_1955-03-02_1997.jpg,1.52,1.02,0.61,1.00,0.00,1.00,4
3243400_1943-06-04_2007.jpg,1.36,0.86,0.51,1.00,0.00,1.00,6
32504400_1952-01-19_1974.jpg,1.61,1.01,0.66,1.00,0.00,1.00,2
32521500_1986-09-12_2015.jpg,1.54,1.01,0.58,1.00,0.00,1.00,2
32521500_1986-09-12_2015.jpg,1.54,1.01,0.58,1.00,0.00,1.00,2
32521500_1986-09-12_2015.jpg,1.30,0.88,0.59,1.00,0.00,1.00,2
3258100_1982-07-07_2011.jpg,1.39,0.92,0.55,1.00,0.00,1.00,2
32633400_1980-03-17_2010.jpg,1.29,0.88,0.47,1.00,0.00,1.00,2
328700_1959-08-10_2012.jpg,1.37,0.98,0.60,1.00,0.00,1.00,5
32955900_1970-01-21_2014.jpg,1.60,1.02,0.58,1.00,0.00,1.00,4
33034300_1995-11-06_2014.jpg,1.47,1.09,0.66,1.00,0.00,1.00,1
3308200_1964-06-11_1986.jpg,1.25,0.76,0.50,1.00,0.00,1.00,2
3316300_1970-06-10_2012.jpg,1.27,0.84,0.52,1.00,0.00,1.00,4
33264600_1993-10-13_2012.jpg,1.13,0.76,0.52,1.00,0.00,1.00,1
33276000_1978-07-09_2007.jpg,1.13,0.76,0.52,1.00,0.00,1.00,2
33348100_1971-07-28_2014.jpg,1.43,0.81,0.48,1.00,0.00,1.00,4
3343200_1977-02-17_2002.jpg,1.16,0.75,0.43,1.00,0.00,1.00,2
33523000_1994-08-29_2013.jpg,1.26,0.91,0.52,1.00,0.00,1.00,1
33623200_1989-10-03_2012.jpg,1.30,0.90,0.57,1.00,0.00,1.00,2
33754400_1990-05-22_2014.jpg,1.30,0.90,0.57,1.00,0.00,1.00,2
33943500_1962-03-06_2010.jpg,1.60,1.14,0.62,1.00,0.00,1.00,4
34199700_1921-05-23_1946.jpg,1.38,0.85,0.50,1.00,0.00,1.00,2
34308200_1971-09-23_2011.jpg,1.51,1.01,0.55,1.00,0.00,1.00,3
34316600_1994-11-15_2013.jpg,1.67,0.89,0.62,1.00,0.00,1.00,1
34316600_1994-11-15_2013.jpg,1.55,0.83,0.55,1.00,0.00,1.00,1
34350600_1880-11-18_1957.jpg,1.19,0.80,0.51,1.00,0.00,1.00,7
34405400_1987-07-22_2014.jpg,1.10,0.91,0.50,1.00,0.00,1.00,2
34465400_1935-09-25_1950.jpg,2.05,1.06,0.70,1.00,0.00,1.00,1
3451400_1979-07-29_2009.jpg,2.05,1.06,0.70,1.00,0.00,1.00,2
346200_1968-12-09_2005.jpg,1.66,0.84,0.52,1.00,0.00,1.00,3
34716200_1953-09-12_2011.jpg,1.37,1.01,0.63,1.00,0.00,1.00,5
34727100_1921-08-18_1953.jpg,1.25,0.78,0.54,1.00,0.00,1.00,3
34807600_1988-05-11_2013.jpg,1.49,0.85,0.52,1.00,0.00,1.00,2
34959100_1994-05-14_2013.jpg,1.26,0.83,0.62,1.00,0.00,1.00,1
34963100_1913-10-27_1940.jpg,1.50,0.99,0.64,1.00,0.00,1.00,2
3497400_1983-08-24_2014.jpg,1.50,0.99,0.64,1.00,0.00,1.00,3
35135200_1955-05-25_2012.jpg,1.80,0.93,0.59,1.00,0.00,1.00,5
35360200_1996-11-01_2012.jpg,1.15,0.86,0.53,1.00,0.00,1.00,1
35555300_1989-11-09_2012.jpg,1.62,0.95,0.59,1.00,0.00,1.00,2
35734000_1989-05-01_2012.jpg,2.60,1.04,0.63,1.00,0.00,1.00,2
35734000_1989-05-01_2012.jpg,2.60,1.04,0.63,1.00,0.00,1.00,2
35798200_1987-08-03_2014.jpg,1.15,0.66,0.43,1.00,0.00,1.00,2
35833400_1966-04-06_2013.jpg,1.73,1.17,0.64,1.00,0.00,1.00,4
36001300_1962-03-10_2012.jpg,1.40,0.89,0.56,1.00,0.00,1.00,4
36279000_1989-06-10_2013.jpg,1.39,0.97,0.58,1.00,0.00,1.00,2
36348200_1986-12-02_2012.jpg,1.26,0.91,0.47,1.00,0.00,1.00,2
36380400_1962-08-12_2011.jpg,1.53,0.83,0.58,1.00,0.00,1.00,4
36505200_1979-05-24_2013.jpg,1.51,1.04,0.58,1.00,0.00,1.00,3
36606300_1984-08-03_2014.jpg,0.88,0.61,0.40,1.00,0.00,1.00,2
36689200_1991-05-03_2013.jpg,1.42,0.95,0.52,1.00,0.00,1.00,2
36705800_1982-03-17_2013.jpg,1.87,1.05,0.58,1.00,0.00,1.00,3
36883800_1990-01-22_2014.jpg,1.75,1.06,0.54,1.00,0.00,1.00,2
36895700_1970-11-09_1985.jpg,1.28,0.98,0.60,1.00,0.00,1.00,1
373900_1989-06-02_2011.jpg,1.28,0.98,0.60,1.00,0.00,1.00,2
37498600_1993-01-18_2013.jpg,1.34,0.84,0.53,1.00,0.00,1.00,1
37500_1944-01-23_2010.jpg,1.34,0.84,0.53,1.00,0.00,1.00,6
37661600_1952-11-17_2009.jpg,0.97,0.77,0.47,1.00,0.00,1.00,5
37666900_1991-05-20_2014.jpg,1.18,0.91,0.48,1.00,0.00,1.00,2
37792700_1964-12-14_1988.jpg,1.53,1.01,0.62,1.00,0.00,1.00,2
38012000_1992-01-19_2013.jpg,1.19,0.83,0.50,1.00,0.00,1.00,2
38300100_1990-08-24_2012.jpg,1.19,0.83,0.50,1.00,0.00,1.00,2
38937100_1993-11-30_2015.jpg,1.19,0.83,0.50,1.00,0.00,1.00,2
3908700_1978-09-19_2011.jpg,1.40,0.98,0.57,1.00,0.00,1.00,3
3908700_1978-09-19_2011.jpg,1.57,0.93,0.61,1.00,0.00,1.00,3
3920700_1980-08-06_2011.jpg,1.23,0.90,0.55,1.00,0.00,1.00,3
39294200_1965-07-31_2011.jpg,1.53,0.93,0.57,1.00,0.00,1.00,4
39302100_1989-11-03_2012.jpg,1.39,0.78,0.49,1.00,0.00,1.00,2
39327800_1990-11-16_2013.jpg,1.55,0.96,0.54,1.00,0.00,1.00,2
39570100_1934-11-06_1992.jpg,1.32,0.90,0.52,1.00,0.00,1.00,5
40507400_1991-04-12_2014.jpg,1.48,0.91,0.53,1.00,0.00,1.00,2
40608300_1960-09-29_2009.jpg,1.33,0.94,0.52,1.00,0.00,1.00,4
40614100_1365-01-27_1950.jpg,0.98,0.83,0.49,1.00,0.00,1.00,8
40614100_1365-01-27_1950.jpg,1.29,0.97,0.51,1.00,0.00,1.00,8
40797100_1988-06-07_2013.jpg,1.29,0.97,0.51,1.00,0.00,1.00,2
40965900_1931-12-18_1989.jpg,1.29,0.97,0.51,1.00,0.00,1.00,5
41068800_1982-01-18_2008.jpg,1.29,0.97,0.51,1.00,0.00,1.00,2
41079800_1987-10-01_2011.jpg,1.44,1.06,0.54,1.00,0.00,1.00,2
41253700_1959-03-20_2007.jpg,1.44,1.06,0.54,1.00,0.00,1.00,4
41255300_1928-05-13_1950.jpg,1.95,0.99,0.68,1.00,0.00,1.00,2
4126400_1917-01-09_1969.jpg,1.53,1.19,0.58,1.00,0.00,1.00,5
413100_1964-09-14_1994.jpg,1.73,1.15,0.66,1.00,0.00,1.00,2
41313000_1950-05-20_1970.jpg,1.73,1.15,0.66,1.00,0.00,1.00,1
41406800_1986-09-12_2014.jpg,1.01,0.87,0.52,1.00,0.00,1.00,2
41431300_1936-10-25_1967.jpg,1.80,0.88,0.50,1.00,0.00,1.00,3
41431300_1936-10-25_1967.jpg,1.57,1.10,0.53,1.00,0.00,1.00,3
41431300_1936-10-25_1967.jpg,1.57,1.10,0.53,1.00,0.00,1.00,3
41464800_1944-12-16_1971.jpg,1.23,0.90,0.51,1.00,0.00,1.00,2
41538900_1993-12-22_2013.jpg,1.23,0.90,0.51,1.00,0.00,1.00,1
41558300_1901-04-10_1942.jpg,1.06,0.76,0.41,1.00,0.00,1.00,4
41577800_1931-03-11_1957.jpg,1.28,0.93,0.59,1.00,0.00,1.00,2
41611300_1946-05-31_1974.jpg,1.21,0.83,0.49,1.00,0.00,1.00,2
41667600_1995-08-06_2013.jpg,1.59,0.92,0.72,1.00,0.00,1.00,1
