Image,facial_index,mandibular_index,intercanthal_index,orbital_width_index,eye_fissure_index,nasal_index,vermilion_height_index,mouth_face_width_index,age_class
/Users/jishavarun/Documents/Python/CS256/wiki/00/1167000_1981-08-18_2012.jpg,1.11,0.57,0.42,0.69,0.07,0.36,0.69,0.29,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/11736200_1930-09-26_1953.jpg,0.89,0.45,0.42,0.70,0.08,0.47,0.65,0.37,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1199800_1976-04-13_2012.jpg,0.89,0.45,0.42,0.70,0.08,0.47,0.65,0.37,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/12087800_1945-03-20_1971.jpg,1.02,0.54,0.43,0.67,0.09,0.42,0.83,0.36,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/12087800_1945-03-20_1971.jpg,0.81,0.41,0.41,0.71,0.10,0.51,0.49,0.43,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/12087800_1945-03-20_1971.jpg,0.99,0.47,0.44,0.63,0.08,0.46,0.69,0.46,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/12170800_1982-12-15_2013.jpg,1.10,0.54,0.41,0.72,0.07,0.47,0.73,0.37,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/12318000_1988-06-12_2008.jpg,1.10,0.54,0.41,0.72,0.07,0.47,0.73,0.37,1
/Users/jishavarun/Documents/Python/CS256/wiki/00/12318000_1988-06-12_2008.jpg,0.95,0.52,0.45,0.61,0.05,0.45,0.71,0.30,1
/Users/jishavarun/Documents/Python/CS256/wiki/00/12318000_1988-06-12_2008.jpg,0.93,0.45,0.44,0.64,0.11,0.32,0.69,0.31,1
/Users/jishavarun/Documents/Python/CS256/wiki/00/12596800_1920-10-18_1955.jpg,0.98,0.54,0.42,0.70,0.05,0.41,0.52,0.35,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/12596800_1920-10-18_1955.jpg,0.90,0.43,0.42,0.70,0.10,0.37,0.56,0.25,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/12611800_1950-08-17_2011.jpg,0.91,0.46,0.46,0.59,0.08,0.48,0.70,0.36,6
/Users/jishavarun/Documents/Python/CS256/wiki/00/12676100_1969-01-27_2014.jpg,0.95,0.49,0.43,0.67,0.10,0.43,0.48,0.37,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/12686100_1890-02-27_1941.jpg,0.86,0.44,0.44,0.65,0.05,0.53,0.44,0.40,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/1285200_1975-01-05_2009.jpg,0.97,0.45,0.40,0.76,0.10,0.50,0.68,0.37,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/12889900_1980-12-02_2013.jpg,0.92,0.33,0.38,0.82,0.06,0.42,0.58,0.46,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/13016000_1987-01-20_2009.jpg,0.95,0.49,0.42,0.69,0.07,0.42,0.61,0.44,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/13118700_1986-11-17_2012.jpg,0.99,0.48,0.43,0.66,0.07,0.42,0.68,0.39,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1315300_1965-09-09_2015.jpg,0.99,0.48,0.43,0.66,0.07,0.42,0.68,0.39,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/1315300_1965-09-09_2015.jpg,0.77,0.29,0.42,0.70,0.09,0.39,0.46,0.29,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/1315300_1965-09-09_2015.jpg,0.92,0.39,0.42,0.70,0.08,0.36,0.58,0.30,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/1315300_1965-09-09_2015.jpg,0.93,0.39,0.44,0.63,0.08,0.42,0.64,0.37,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/13235200_1935-04-20_1964.jpg,0.94,0.48,0.41,0.72,0.07,0.55,0.72,0.29,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/13304100_1949-03-08_2008.jpg,0.88,0.41,0.41,0.73,0.07,0.55,0.55,0.39,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/1333800_1979-04-09_2001.jpg,0.99,0.48,0.39,0.79,0.09,0.45,0.70,0.36,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1335100_1954-09-18_2007.jpg,0.83,0.34,0.43,0.67,0.06,0.51,0.47,0.39,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/13612600_1944-01-28_1971.jpg,0.95,0.44,0.41,0.71,0.09,0.37,0.65,0.37,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1363900_1978-02-02_2010.jpg,0.91,0.50,0.42,0.71,0.09,0.44,0.68,0.48,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/1372000_1971-12-02_2009.jpg,0.91,0.50,0.42,0.71,0.09,0.44,0.68,0.48,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/1372000_1971-12-02_2009.jpg,0.91,0.49,0.40,0.74,0.06,0.50,0.45,0.42,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/14007800_1983-05-06_2015.jpg,0.91,0.49,0.40,0.74,0.06,0.50,0.45,0.42,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/14045000_1908-06-24_2002.jpg,0.84,0.31,0.41,0.73,0.05,0.52,0.53,0.47,8
/Users/jishavarun/Documents/Python/CS256/wiki/00/14107900_1986-09-14_2010.jpg,0.84,0.31,0.41,0.73,0.05,0.52,0.53,0.47,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1422400_1958-01-07_1987.jpg,1.00,0.40,0.40,0.76,0.09,0.35,0.74,0.39,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/14248600_1960-02-06_1984.jpg,0.97,0.53,0.43,0.65,0.08,0.45,0.75,0.40,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1427800_1932-05-08_2005.jpg,0.89,0.40,0.42,0.69,0.07,0.41,0.43,0.32,7
/Users/jishavarun/Documents/Python/CS256/wiki/00/14393400_1914-05-02_1961.jpg,0.89,0.40,0.42,0.69,0.07,0.41,0.43,0.32,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/14393400_1914-05-02_1961.jpg,0.89,0.40,0.42,0.69,0.07,0.41,0.43,0.32,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/14393400_1914-05-02_1961.jpg,0.89,0.40,0.42,0.69,0.07,0.41,0.43,0.32,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/14429000_1885-11-19_1941.jpg,1.07,0.47,0.43,0.65,0.08,0.38,0.72,0.40,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/1479500_1962-10-04_2011.jpg,0.92,0.42,0.46,0.59,0.04,0.54,0.68,0.39,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/15208300_1974-06-02_2011.jpg,0.92,0.42,0.46,0.59,0.04,0.54,0.68,0.39,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/15340800_1989-07-13_2008.jpg,0.88,0.44,0.43,0.66,0.06,0.54,0.66,0.44,1
/Users/jishavarun/Documents/Python/CS256/wiki/00/1536200_1982-06-25_2014.jpg,0.86,0.39,0.42,0.70,0.08,0.39,0.58,0.32,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/15446600_1975-09-14_2005.jpg,0.96,0.50,0.43,0.65,0.08,0.42,0.68,0.35,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/15472000_1979-03-07_2015.jpg,0.87,0.44,0.40,0.74,0.08,0.46,0.65,0.35,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/15515600_1954-01-22_2006.jpg,0.96,0.45,0.42,0.69,0.08,0.44,0.51,0.39,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/1554700_1965-12-07_2013.jpg,0.90,0.51,0.46,0.59,0.06,0.60,0.58,0.41,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/15550600_1973-11-01_2000.jpg,0.93,0.54,0.40,0.74,0.07,0.54,0.68,0.53,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1578500_1919-06-14_1959.jpg,0.88,0.42,0.43,0.65,0.08,0.42,0.48,0.36,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/1591900_1970-04-13_2007.jpg,0.95,0.36,0.42,0.69,0.08,0.48,0.69,0.41,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/1638200_1931-01-30_2007.jpg,0.92,0.45,0.45,0.63,0.08,0.42,0.60,0.44,7
/Users/jishavarun/Documents/Python/CS256/wiki/00/1653100_1980-01-25_2008.jpg,0.95,0.41,0.44,0.63,0.08,0.35,0.82,0.39,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/16642400_1989-09-30_2010.jpg,0.95,0.41,0.44,0.63,0.08,0.35,0.82,0.39,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1687000_1932-12-12_1962.jpg,0.96,0.48,0.41,0.73,0.09,0.42,0.52,0.37,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1694300_1928-03-16_1960.jpg,1.01,0.54,0.43,0.65,0.07,0.50,0.59,0.40,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/1698400_1958-12-10_2008.jpg,0.85,0.41,0.43,0.67,0.05,0.48,0.45,0.38,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/1716100_1958-02-13_2013.jpg,0.90,0.47,0.42,0.70,0.08,0.46,0.51,0.40,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/1741200_1967-06-28_2012.jpg,0.90,0.42,0.43,0.67,0.05,0.49,0.66,0.48,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/17470000_1985-09-13_2009.jpg,0.97,0.42,0.43,0.68,0.09,0.43,0.63,0.45,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/17509100_1945-02-09_2005.jpg,0.80,0.33,0.45,0.60,0.04,0.54,0.95,0.46,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/17560900_1982-06-05_2009.jpg,0.80,0.33,0.45,0.60,0.04,0.54,0.95,0.46,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1765800_1933-06-27_1951.jpg,0.85,0.48,0.42,0.69,0.07,0.48,0.58,0.33,1
/Users/jishavarun/Documents/Python/CS256/wiki/00/1765800_1933-06-27_1951.jpg,0.97,0.49,0.44,0.64,0.04,0.40,0.48,0.36,1
/Users/jishavarun/Documents/Python/CS256/wiki/00/176900_1936-03-20_2013.jpg,0.97,0.49,0.44,0.64,0.04,0.40,0.48,0.36,7
/Users/jishavarun/Documents/Python/CS256/wiki/00/1778000_1960-01-17_2014.jpg,0.99,0.62,0.46,0.59,0.07,0.52,0.72,0.38,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/1806600_1981-03-30_2011.jpg,0.87,0.46,0.40,0.75,0.05,0.51,0.62,0.38,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1836500_1984-01-31_2015.jpg,1.00,0.45,0.44,0.65,0.10,0.36,0.82,0.35,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/18407100_1917-10-18_1958.jpg,0.89,0.44,0.42,0.68,0.05,0.41,0.75,0.34,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/1859900_1911-03-21_1969.jpg,0.93,0.46,0.42,0.69,0.08,0.48,0.75,0.46,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/1859900_1911-03-21_1969.jpg,0.93,0.46,0.46,0.59,0.07,0.48,0.51,0.43,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/18763900_1943-01-23_2008.jpg,0.95,0.48,0.47,0.56,0.06,0.46,0.67,0.37,6
/Users/jishavarun/Documents/Python/CS256/wiki/00/18890000_1975-04-01_2009.jpg,0.91,0.38,0.42,0.68,0.08,0.38,0.66,0.38,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/18890700_1918-10-07_1974.jpg,0.86,0.42,0.39,0.78,0.07,0.45,0.87,0.37,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/1896500_1978-05-08_2009.jpg,0.86,0.42,0.39,0.78,0.07,0.45,0.87,0.37,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/18969800_1957-12-10_2009.jpg,0.86,0.42,0.39,0.78,0.07,0.45,0.87,0.37,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/18994300_1930-08-19_2007.jpg,0.90,0.42,0.44,0.64,0.07,0.46,0.45,0.38,7
/Users/jishavarun/Documents/Python/CS256/wiki/00/19017900_1982-02-03_2015.jpg,0.84,0.32,0.43,0.66,0.08,0.39,0.52,0.41,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/19114800_1921-10-22_2009.jpg,0.94,0.46,0.47,0.57,0.06,0.48,0.68,0.47,8
/Users/jishavarun/Documents/Python/CS256/wiki/00/1915100_1957-07-20_1990.jpg,0.79,0.33,0.44,0.64,0.07,0.44,0.73,0.50,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/19248600_1958-05-25_2015.jpg,0.90,0.47,0.42,0.68,0.07,0.49,0.35,0.41,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/19544100_1906-01-11_1993.jpg,0.98,0.48,0.46,0.60,0.06,0.46,0.58,0.45,8
/Users/jishavarun/Documents/Python/CS256/wiki/00/19624300_1989-08-10_2010.jpg,0.94,0.43,0.42,0.68,0.05,0.45,0.68,0.44,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/19624300_1989-08-10_2010.jpg,0.89,0.49,0.43,0.67,0.07,0.52,0.79,0.48,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1967700_1977-04-13_2012.jpg,0.92,0.42,0.43,0.67,0.08,0.39,0.69,0.31,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/196900_1884-05-20_1940.jpg,0.97,0.49,0.45,0.62,0.07,0.51,0.71,0.45,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/19792500_1978-10-10_2009.jpg,0.94,0.41,0.42,0.68,0.07,0.43,0.78,0.41,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/1979400_1978-03-21_2005.jpg,0.94,0.41,0.42,0.68,0.07,0.43,0.78,0.41,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/19910800_1991-06-26_2011.jpg,0.74,0.29,0.42,0.70,0.06,0.52,0.40,0.40,1
/Users/jishavarun/Documents/Python/CS256/wiki/00/20166800_1974-08-01_2012.jpg,0.74,0.29,0.42,0.70,0.06,0.52,0.40,0.40,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/20562000_1984-06-27_2013.jpg,0.91,0.32,0.42,0.69,0.08,0.38,0.68,0.36,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/20613200_1990-03-09_2014.jpg,0.92,0.40,0.42,0.69,0.07,0.47,0.76,0.44,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/208200_1921-11-03_1966.jpg,0.91,0.45,0.46,0.59,0.05,0.50,0.62,0.41,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/20834100_1986-02-15_2009.jpg,0.94,0.40,0.42,0.68,0.08,0.47,0.63,0.36,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2085000_1966-07-12_2011.jpg,0.86,0.37,0.43,0.67,0.07,0.54,0.62,0.46,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/2093100_1980-07-16_2013.jpg,1.04,0.54,0.40,0.76,0.11,0.37,0.64,0.39,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/2141000_1982-10-31_2008.jpg,0.93,0.47,0.42,0.70,0.09,0.36,0.62,0.32,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/21452700_1989-04-03_2012.jpg,0.79,0.43,0.40,0.76,0.07,0.51,0.59,0.46,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/21501500_1980-04-24_2009.jpg,0.95,0.50,0.45,0.62,0.05,0.50,0.83,0.41,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/21581300_1981-03-03_2009.jpg,0.95,0.50,0.45,0.62,0.05,0.50,0.83,0.41,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/21581300_1981-03-03_2009.jpg,0.88,0.46,0.44,0.64,0.06,0.53,0.62,0.41,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/21718500_1986-06-01_2010.jpg,0.97,0.48,0.40,0.75,0.08,0.36,0.69,0.40,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/21746300_1979-08-04_2009.jpg,1.05,0.56,0.40,0.75,0.07,0.38,0.70,0.37,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/21750900_1984-06-06_2009.jpg,0.87,0.41,0.44,0.65,0.07,0.41,0.59,0.42,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/21988100_1911-06-11_1941.jpg,0.97,0.51,0.41,0.74,0.10,0.37,0.67,0.33,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/22015000_1925-01-12_2003.jpg,0.89,0.43,0.41,0.72,0.08,0.53,0.53,0.40,7
/Users/jishavarun/Documents/Python/CS256/wiki/00/2202900_1919-04-24_1999.jpg,0.93,0.49,0.44,0.63,0.03,0.60,0.54,0.45,7
/Users/jishavarun/Documents/Python/CS256/wiki/00/2232500_1961-08-22_2007.jpg,1.03,0.47,0.43,0.66,0.08,0.40,0.97,0.38,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/2233200_1977-06-26_2008.jpg,0.80,0.33,0.43,0.66,0.07,0.49,0.63,0.38,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/2233200_1977-06-26_2008.jpg,0.88,0.45,0.45,0.61,0.07,0.50,0.67,0.39,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/22520700_1975-02-02_2012.jpg,0.85,0.40,0.42,0.69,0.08,0.39,0.69,0.32,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/22520700_1975-02-02_2012.jpg,0.90,0.38,0.43,0.66,0.07,0.44,0.37,0.38,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/22520700_1975-02-02_2012.jpg,0.90,0.38,0.43,0.66,0.07,0.44,0.37,0.38,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/22675200_1981-09-28_2009.jpg,0.96,0.44,0.41,0.71,0.08,0.42,0.85,0.35,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2277500_1976-11-04_2009.jpg,0.88,0.39,0.43,0.66,0.07,0.48,0.65,0.40,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/22822500_1867-12-04_1940.jpg,0.87,0.34,0.43,0.66,0.08,0.42,0.90,0.39,7
/Users/jishavarun/Documents/Python/CS256/wiki/00/22945600_1991-05-17_2012.jpg,1.10,0.51,0.40,0.76,0.16,0.32,0.35,0.20,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2295300_1891-01-10_1960.jpg,1.05,0.43,0.47,0.57,0.07,0.36,0.52,0.35,6
/Users/jishavarun/Documents/Python/CS256/wiki/00/22964300_1952-04-12_1968.jpg,1.05,0.43,0.47,0.57,0.07,0.36,0.52,0.35,1
/Users/jishavarun/Documents/Python/CS256/wiki/00/2298900_1966-09-07_2003.jpg,0.83,0.46,0.41,0.72,0.07,0.46,0.48,0.33,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/2301200_1981-10-22_2011.jpg,0.91,0.52,0.42,0.68,0.07,0.43,0.47,0.35,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/23300_1962-06-19_2011.jpg,0.91,0.52,0.42,0.68,0.07,0.43,0.47,0.35,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/23497100_1983-02-21_2013.jpg,1.02,0.56,0.44,0.64,0.06,0.44,0.60,0.43,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2376100_1975-12-11_2006.jpg,0.79,0.29,0.40,0.74,0.06,0.37,0.48,0.31,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/23804200_1950-03-31_2013.jpg,0.92,0.42,0.43,0.67,0.08,0.49,0.57,0.38,6
/Users/jishavarun/Documents/Python/CS256/wiki/00/24051800_1974-11-16_2013.jpg,1.12,0.56,0.41,0.73,0.08,0.37,0.79,0.51,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/2442300_1980-06-23_2012.jpg,1.12,0.56,0.41,0.73,0.08,0.37,0.79,0.51,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/24434700_1960-04-21_1997.jpg,0.87,0.31,0.44,0.65,0.09,0.47,0.55,0.39,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/24503600_1990-05-22_2011.jpg,0.88,0.44,0.42,0.69,0.07,0.47,0.47,0.40,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2452600_1967-08-22_2013.jpg,0.99,0.49,0.44,0.63,0.05,0.61,0.75,0.56,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/24594000_1983-09-18_2013.jpg,0.99,0.49,0.44,0.63,0.05,0.61,0.75,0.56,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2470900_1956-06-04_2012.jpg,0.99,0.49,0.44,0.63,0.05,0.61,0.75,0.56,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/24746800_1990-07-24_2012.jpg,0.88,0.35,0.45,0.62,0.09,0.37,0.63,0.34,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/24817400_1984-10-25_2011.jpg,0.93,0.39,0.41,0.71,0.09,0.39,0.51,0.34,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2490600_1970-02-04_2013.jpg,0.92,0.44,0.38,0.80,0.05,0.45,0.58,0.33,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/24910700_1912-07-10_1941.jpg,0.92,0.44,0.38,0.80,0.05,0.45,0.58,0.33,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2494800_1977-11-27_2005.jpg,0.87,0.47,0.43,0.67,0.06,0.46,0.65,0.48,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/24973700_1951-03-22_2008.jpg,0.90,0.43,0.43,0.66,0.08,0.46,0.55,0.38,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/25082400_1983-01-27_2011.jpg,0.97,0.43,0.44,0.65,0.09,0.38,0.54,0.35,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/25082400_1983-01-27_2011.jpg,1.00,0.37,0.41,0.72,0.06,0.45,0.75,0.40,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/25168600_1990-08-16_2014.jpg,1.00,0.37,0.41,0.72,0.06,0.45,0.75,0.40,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/25192500_1989-02-25_2013.jpg,0.92,0.49,0.41,0.72,0.05,0.50,0.65,0.39,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2569000_1972-07-04_2007.jpg,0.94,0.49,0.39,0.80,0.10,0.38,0.72,0.37,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/25753700_1986-07-23_2011.jpg,0.87,0.43,0.41,0.73,0.08,0.56,0.77,0.51,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/25910800_1987-08-11_2009.jpg,0.95,0.54,0.43,0.67,0.08,0.41,0.66,0.37,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/25947000_1974-08-30_2013.jpg,0.97,0.50,0.41,0.71,0.08,0.50,0.71,0.44,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/2612500_1977-03-26_2009.jpg,1.01,0.57,0.42,0.68,0.06,0.43,0.62,0.39,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/2616800_1939-09-14_2007.jpg,0.94,0.41,0.44,0.64,0.07,0.50,0.72,0.50,6
/Users/jishavarun/Documents/Python/CS256/wiki/00/262800_1943-04-06_2011.jpg,0.97,0.48,0.44,0.64,0.08,0.38,0.67,0.30,6
/Users/jishavarun/Documents/Python/CS256/wiki/00/26457400_1918-05-17_1952.jpg,1.01,0.55,0.43,0.68,0.10,0.40,0.82,0.36,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/26553500_1986-04-23_2010.jpg,0.94,0.50,0.42,0.69,0.08,0.48,0.80,0.38,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/2669900_1933-07-29_1968.jpg,0.94,0.40,0.45,0.61,0.08,0.41,0.43,0.38,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/2690900_1963-03-12_2010.jpg,0.98,0.53,0.44,0.64,0.06,0.46,0.74,0.43,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/2690900_1963-03-12_2010.jpg,0.86,0.42,0.44,0.63,0.07,0.47,0.57,0.35,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/2690900_1963-03-12_2010.jpg,0.90,0.45,0.43,0.67,0.07,0.53,0.63,0.35,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/2690900_1963-03-12_2010.jpg,0.89,0.42,0.46,0.60,0.09,0.42,0.42,0.36,4
