Image,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,age_class
14107900_1986-09-14_2010.jpg,0.50,0.49,0.50,0.36,0.48,0.47,0.50,0.50,0.49,0.36,0.49,0.48,0.50,0.49,0.51,0.43,0.49,0.49,0.50,0.50,0.49,0.43,0.50,0.49,2
1422400_1958-01-07_1987.jpg,0.50,0.51,0.49,0.35,0.48,0.48,0.49,0.49,0.50,0.37,0.49,0.48,0.51,0.51,0.49,0.42,0.49,0.48,0.50,0.50,0.50,0.42,0.49,0.49,2
14248600_1960-02-06_1984.jpg,0.49,0.48,0.50,0.33,0.48,0.46,0.49,0.49,0.50,0.33,0.47,0.46,0.49,0.49,0.50,0.37,0.49,0.47,0.49,0.49,0.50,0.37,0.48,0.47,2
1427800_1932-05-08_2005.jpg,0.50,0.50,0.50,0.40,0.47,0.47,0.49,0.49,0.50,0.42,0.47,0.47,0.50,0.50,0.50,0.45,0.49,0.48,0.49,0.50,0.50,0.46,0.49,0.49,7
14393400_1914-05-02_1961.jpg,0.50,0.49,0.49,0.43,0.48,0.49,0.50,0.49,0.49,0.41,0.48,0.49,0.50,0.49,0.49,0.46,0.49,0.50,0.50,0.50,0.49,0.45,0.49,0.50,4
14404500_1953-12-25_1976.jpg,0.50,0.49,0.50,0.45,0.49,0.49,0.50,0.50,0.50,0.41,0.49,0.49,0.51,0.50,0.50,0.47,0.49,0.50,0.50,0.50,0.50,0.45,0.50,0.50,2
14429000_1885-11-19_1941.jpg,0.49,0.50,0.50,0.44,0.49,0.49,0.50,0.49,0.50,0.43,0.49,0.49,0.49,0.50,0.50,0.48,0.50,0.50,0.50,0.49,0.50,0.47,0.49,0.50,5
14609100_1984-03-14_2008.jpg,0.49,0.49,0.50,0.37,0.48,0.47,0.50,0.50,0.50,0.37,0.48,0.47,0.49,0.49,0.50,0.46,0.49,0.49,0.50,0.50,0.50,0.45,0.49,0.49,2
14631800_1982-01-06_2008.jpg,0.49,0.50,0.49,0.37,0.44,0.44,0.49,0.48,0.49,0.35,0.43,0.44,0.50,0.50,0.49,0.42,0.46,0.46,0.49,0.49,0.49,0.41,0.46,0.46,2
1479500_1962-10-04_2011.jpg,0.50,0.49,0.50,0.35,0.48,0.48,0.49,0.49,0.50,0.37,0.48,0.46,0.50,0.49,0.50,0.41,0.49,0.49,0.49,0.49,0.50,0.42,0.49,0.48,4
15200800_1958-08-21_1984.jpg,0.50,0.50,0.48,0.34,0.47,0.45,0.50,0.50,0.49,0.34,0.46,0.46,0.51,0.51,0.49,0.44,0.49,0.48,0.51,0.51,0.49,0.44,0.49,0.49,2
15208300_1974-06-02_2011.jpg,0.50,0.48,0.50,0.39,0.49,0.48,0.49,0.49,0.50,0.38,0.49,0.48,0.50,0.48,0.50,0.44,0.49,0.48,0.49,0.49,0.50,0.43,0.49,0.49,3
153000_1940-11-29_2006.jpg,0.49,0.50,0.50,0.37,0.46,0.46,0.49,0.50,0.49,0.35,0.46,0.45,0.49,0.50,0.50,0.41,0.47,0.47,0.49,0.50,0.49,0.40,0.47,0.46,6
15340800_1989-07-13_2008.jpg,0.49,0.49,0.50,0.40,0.48,0.49,0.49,0.49,0.49,0.39,0.49,0.48,0.49,0.49,0.50,0.46,0.49,0.49,0.49,0.49,0.49,0.46,0.49,0.49,1
1536200_1982-06-25_2014.jpg,0.48,0.48,0.49,0.29,0.47,0.44,0.47,0.49,0.50,0.30,0.46,0.45,0.50,0.49,0.50,0.38,0.49,0.48,0.49,0.50,0.50,0.39,0.49,0.48,3
15446600_1975-09-14_2005.jpg,0.49,0.48,0.49,0.27,0.47,0.47,0.48,0.49,0.49,0.29,0.47,0.46,0.50,0.49,0.49,0.39,0.49,0.48,0.49,0.50,0.50,0.40,0.49,0.47,2
15472000_1979-03-07_2015.jpg,0.50,0.49,0.49,0.37,0.45,0.44,0.49,0.49,0.50,0.36,0.45,0.45,0.50,0.49,0.49,0.42,0.47,0.46,0.50,0.50,0.50,0.41,0.47,0.47,3
15515600_1954-01-22_2006.jpg,0.49,0.49,0.50,0.32,0.47,0.46,0.49,0.48,0.50,0.32,0.47,0.47,0.50,0.49,0.50,0.40,0.49,0.48,0.50,0.49,0.50,0.41,0.49,0.49,5
1554700_1965-12-07_2013.jpg,0.48,0.49,0.49,0.37,0.47,0.46,0.49,0.50,0.49,0.39,0.47,0.46,0.49,0.49,0.50,0.42,0.48,0.48,0.50,0.50,0.49,0.43,0.48,0.47,4
15550600_1973-11-01_2000.jpg,0.49,0.51,0.50,0.31,0.49,0.50,0.49,0.50,0.50,0.31,0.50,0.49,0.49,0.51,0.50,0.39,0.50,0.50,0.49,0.50,0.50,0.39,0.50,0.50,2
1576600_1970-12-02_2012.jpg,0.48,0.47,0.49,0.33,0.44,0.43,0.47,0.49,0.49,0.34,0.45,0.45,0.49,0.48,0.49,0.37,0.45,0.45,0.48,0.49,0.49,0.37,0.46,0.47,4
1578500_1919-06-14_1959.jpg,0.49,0.50,0.49,0.40,0.48,0.48,0.49,0.49,0.49,0.36,0.49,0.48,0.50,0.50,0.49,0.47,0.49,0.49,0.50,0.49,0.50,0.45,0.50,0.49,3
1591900_1970-04-13_2007.jpg,0.48,0.48,0.50,0.29,0.46,0.44,0.48,0.50,0.49,0.33,0.45,0.44,0.49,0.48,0.50,0.37,0.48,0.46,0.49,0.50,0.49,0.40,0.47,0.47,3
16036900_1945-12-16_1940.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
16095200_1950-08-18_1950.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
16199900_1966-10-28_1960.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
16370900_1928-07-20_2010.jpg,0.47,0.47,0.48,0.18,0.40,0.40,0.46,0.48,0.49,0.19,0.42,0.40,0.48,0.48,0.49,0.24,0.42,0.42,0.47,0.49,0.50,0.25,0.44,0.42,8
16377600_1956-03-10_1950.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
1638200_1931-01-30_2007.jpg,0.46,0.49,0.49,0.19,0.42,0.41,0.46,0.47,0.48,0.20,0.42,0.42,0.47,0.49,0.49,0.26,0.44,0.44,0.47,0.48,0.49,0.27,0.44,0.45,7
16405000_1896-04-17_2006.jpg,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,8
1653100_1980-01-25_2008.jpg,0.49,0.49,0.50,0.36,0.49,0.47,0.50,0.49,0.50,0.35,0.48,0.49,0.50,0.49,0.50,0.40,0.50,0.48,0.50,0.50,0.50,0.40,0.49,0.49,2
16555800_1981-01-26_1980.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
16642400_1989-09-30_2010.jpg,0.48,0.48,0.49,0.28,0.47,0.46,0.49,0.49,0.50,0.29,0.47,0.46,0.49,0.49,0.49,0.38,0.49,0.48,0.49,0.49,0.50,0.39,0.48,0.48,2
1665600_1957-03-20_2007.jpg,0.49,0.50,0.50,0.42,0.49,0.48,0.50,0.50,0.50,0.40,0.49,0.49,0.50,0.51,0.50,0.45,0.50,0.49,0.50,0.50,0.50,0.44,0.49,0.49,4
1687000_1932-12-12_1962.jpg,0.49,0.51,0.50,0.43,0.49,0.48,0.49,0.48,0.49,0.45,0.49,0.50,0.50,0.51,0.50,0.51,0.51,0.50,0.50,0.49,0.49,0.52,0.51,0.51,2
1694300_1928-03-16_1960.jpg,0.46,0.47,0.49,0.21,0.41,0.38,0.46,0.47,0.47,0.20,0.42,0.40,0.47,0.47,0.49,0.26,0.43,0.41,0.47,0.48,0.48,0.26,0.44,0.42,3
1698400_1958-12-10_2008.jpg,0.50,0.49,0.50,0.40,0.49,0.48,0.50,0.49,0.50,0.39,0.49,0.48,0.50,0.49,0.50,0.45,0.50,0.49,0.50,0.50,0.50,0.45,0.49,0.49,4
17075300_1915-05-18_1990.jpg,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,7
17147900_1985-02-24_2011.jpg,0.50,0.48,0.50,0.42,0.48,0.49,0.51,0.49,0.49,0.43,0.49,0.49,0.50,0.48,0.50,0.45,0.49,0.49,0.51,0.49,0.49,0.47,0.50,0.49,2
17149700_1985-11-03_2011.jpg,0.50,0.50,0.50,0.43,0.49,0.50,0.50,0.50,0.50,0.42,0.50,0.49,0.50,0.50,0.50,0.48,0.49,0.50,0.50,0.50,0.51,0.47,0.50,0.50,2
1716100_1958-02-13_2013.jpg,0.50,0.50,0.50,0.38,0.49,0.47,0.49,0.50,0.50,0.36,0.49,0.49,0.50,0.50,0.50,0.44,0.49,0.48,0.49,0.50,0.50,0.42,0.49,0.49,5
1741200_1967-06-28_2012.jpg,0.49,0.49,0.49,0.23,0.44,0.42,0.48,0.49,0.49,0.23,0.46,0.43,0.49,0.49,0.49,0.28,0.46,0.44,0.49,0.49,0.49,0.28,0.47,0.45,4
17470000_1985-09-13_2009.jpg,0.49,0.51,0.51,0.34,0.48,0.47,0.49,0.50,0.50,0.35,0.48,0.48,0.49,0.51,0.51,0.46,0.50,0.49,0.50,0.50,0.50,0.46,0.49,0.49,2
17509100_1945-02-09_2005.jpg,0.49,0.51,0.50,0.29,0.46,0.44,0.47,0.48,0.50,0.29,0.45,0.45,0.49,0.51,0.50,0.36,0.48,0.47,0.48,0.49,0.50,0.36,0.47,0.47,5
17560900_1982-06-05_2009.jpg,0.49,0.49,0.49,0.32,0.46,0.46,0.49,0.49,0.49,0.33,0.47,0.46,0.49,0.50,0.49,0.39,0.48,0.48,0.50,0.50,0.50,0.39,0.48,0.48,2
17580100_1983-09-04_2009.jpg,0.49,0.49,0.49,0.33,0.48,0.48,0.49,0.50,0.50,0.31,0.49,0.47,0.49,0.49,0.49,0.42,0.49,0.49,0.49,0.50,0.50,0.41,0.50,0.48,2
1759400_1938-07-27_2010.jpg,0.50,0.50,0.50,0.46,0.49,0.49,0.49,0.49,0.49,0.46,0.48,0.49,0.50,0.50,0.50,0.49,0.50,0.50,0.49,0.49,0.49,0.48,0.49,0.50,7
1765800_1933-06-27_1951.jpg,0.50,0.49,0.49,0.40,0.49,0.49,0.49,0.48,0.49,0.40,0.49,0.48,0.50,0.49,0.49,0.47,0.49,0.50,0.50,0.48,0.50,0.46,0.49,0.49,1
176900_1936-03-20_2013.jpg,0.48,0.48,0.50,0.27,0.46,0.43,0.47,0.48,0.49,0.28,0.45,0.45,0.48,0.49,0.50,0.30,0.47,0.45,0.48,0.49,0.50,0.32,0.46,0.46,7
1778000_1960-01-17_2014.jpg,0.49,0.50,0.50,0.36,0.49,0.48,0.49,0.49,0.50,0.37,0.49,0.47,0.50,0.50,0.50,0.43,0.49,0.49,0.49,0.49,0.50,0.43,0.49,0.48,5
1806600_1981-03-30_2011.jpg,0.49,0.50,0.50,0.36,0.48,0.47,0.50,0.51,0.50,0.37,0.48,0.48,0.50,0.51,0.51,0.42,0.49,0.48,0.50,0.51,0.50,0.42,0.48,0.49,2
18262600_1947-10-16_1940.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
18287100_1979-07-13_2009.jpg,0.49,0.50,0.50,0.35,0.47,0.47,0.49,0.51,0.50,0.33,0.48,0.47,0.49,0.50,0.50,0.40,0.48,0.48,0.49,0.51,0.50,0.39,0.49,0.48,2
1836500_1984-01-31_2015.jpg,0.50,0.50,0.50,0.42,0.50,0.49,0.49,0.52,0.50,0.41,0.49,0.49,0.50,0.50,0.50,0.45,0.51,0.49,0.49,0.52,0.51,0.45,0.49,0.49,3
