Image,lip_width,eye1_width,eye2_width,nose_length,nose_width,eyebrow1_length,eyebrow2_length,jawline_width,age_class
/Users/jishavarun/Downloads/wiki/wiki/00/12087800_1945-03-20_1971.jpg,143,58.03,74.43,106.89,80.01,102.35,187.47,104.12,2
/Users/jishavarun/Downloads/wiki/wiki/00/12087800_1945-03-20_1971.jpg,193.37,90.01,71.84,120.9,97.42,204.17,114.61,127.48,2
/Users/jishavarun/Downloads/wiki/wiki/00/12087800_1945-03-20_1971.jpg,212,83.02,83.02,144.28,106,182.77,204.66,100.84,2
/Users/jishavarun/Downloads/wiki/wiki/00/12170800_1982-12-15_2013.jpg,160.61,75.66,88.01,123.23,107.12,160.91,227.39,94.13,3
/Users/jishavarun/Downloads/wiki/wiki/00/12318000_1988-06-12_2008.jpg,160.61,75.66,88.01,123.23,107.12,160.91,227.39,94.13,1
/Users/jishavarun/Downloads/wiki/wiki/00/12318000_1988-06-12_2008.jpg,118.34,67.27,35.13,97.14,79.4,166.72,48.77,173.14,1
/Users/jishavarun/Downloads/wiki/wiki/00/12318000_1988-06-12_2008.jpg,117,65.12,45.4,97.51,57.22,165.89,71.36,147,1
/Users/jishavarun/Downloads/wiki/wiki/00/12596800_1920-10-18_1955.jpg,141.87,74.67,68.45,106.71,76.84,189.09,115.51,126.06,3
/Users/jishavarun/Downloads/wiki/wiki/00/12596800_1920-10-18_1955.jpg,118.34,55.44,82.02,106.55,75.54,83.68,200.33,127.42,3
/Users/jishavarun/Downloads/wiki/wiki/00/12611800_1950-08-17_2011.jpg,176,77.06,78.06,101.02,98.05,180.36,196.09,119.82,6
/Users/jishavarun/Downloads/wiki/wiki/00/12676100_1969-01-27_2014.jpg,150.16,79.76,69.18,116.35,81.01,192.25,127.77,112.61,4
/Users/jishavarun/Downloads/wiki/wiki/00/12686100_1890-02-27_1941.jpg,194,80.23,82.05,126.44,102.96,169.94,183.06,74.4,5
/Users/jishavarun/Downloads/wiki/wiki/00/1285200_1975-01-05_2009.jpg,148,78.1,62.65,98.72,99.02,171.36,107.49,118.8,3
/Users/jishavarun/Downloads/wiki/wiki/00/12889900_1980-12-02_2013.jpg,221.06,98.18,103.17,156.55,109.17,149.35,182.96,145.25,3
/Users/jishavarun/Downloads/wiki/wiki/00/13016000_1987-01-20_2009.jpg,192.04,76.01,81.22,125.06,87.28,130.98,174.02,124.58,2
/Users/jishavarun/Downloads/wiki/wiki/00/13118700_1986-11-17_2012.jpg,161.38,65.28,72.25,99.61,82.1,153.28,173.94,114.98,2
/Users/jishavarun/Downloads/wiki/wiki/00/1315300_1965-09-09_2015.jpg,161.38,65.28,72.25,99.61,82.1,153.28,173.94,114.98,4
/Users/jishavarun/Downloads/wiki/wiki/00/1315300_1965-09-09_2015.jpg,130,89.02,77.23,85.33,71.01,187.31,143.18,134.18,4
/Users/jishavarun/Downloads/wiki/wiki/00/1315300_1965-09-09_2015.jpg,122.92,80.1,57.31,105.95,75.54,185.4,95.92,154.03,4
/Users/jishavarun/Downloads/wiki/wiki/00/1315300_1965-09-09_2015.jpg,188.01,94.02,71.18,134.85,102.18,212.52,111.37,189.62,4
/Users/jishavarun/Downloads/wiki/wiki/00/13235200_1935-04-20_1964.jpg,135.83,90.35,75.8,118.6,114.98,192.01,158.95,113.72,2
/Users/jishavarun/Downloads/wiki/wiki/00/13304100_1949-03-08_2008.jpg,174.29,76.11,86.02,122.64,102.08,158.16,187.52,82.22,5
/Users/jishavarun/Downloads/wiki/wiki/00/1333800_1979-04-09_2001.jpg,154.03,82.05,49.04,121.08,98,212.88,59.05,214.37,2
/Users/jishavarun/Downloads/wiki/wiki/00/1335100_1954-09-18_2007.jpg,192.75,84.72,89.36,149.34,115.52,167.24,177.42,103.94,5
/Users/jishavarun/Downloads/wiki/wiki/00/13612600_1944-01-28_1971.jpg,165.85,76.32,83.24,104.05,79.48,120.91,178.73,125.78,2
/Users/jishavarun/Downloads/wiki/wiki/00/1363900_1978-02-02_2010.jpg,202.3,80.22,78.85,120.34,81.15,150.89,144.48,99.02,3
/Users/jishavarun/Downloads/wiki/wiki/00/1372000_1971-12-02_2009.jpg,202.3,80.22,78.85,120.34,81.15,150.89,144.48,99.02,3
/Users/jishavarun/Downloads/wiki/wiki/00/1372000_1971-12-02_2009.jpg,171.03,83.86,63.39,132.19,97.02,198.03,110.99,111.09,3
/Users/jishavarun/Downloads/wiki/wiki/00/14007800_1983-05-06_2015.jpg,171.03,83.86,63.39,132.19,97.02,198.03,110.99,111.09,3
/Users/jishavarun/Downloads/wiki/wiki/00/14045000_1908-06-24_2002.jpg,219.67,73.98,82,138.1,116.62,137.56,171.92,85.49,8
/Users/jishavarun/Downloads/wiki/wiki/00/14107900_1986-09-14_2010.jpg,219.67,73.98,82,138.1,116.62,137.56,171.92,85.49,2
/Users/jishavarun/Downloads/wiki/wiki/00/1422400_1958-01-07_1987.jpg,182.5,87.32,94.7,136.13,91.08,175.95,193.05,143.28,2
/Users/jishavarun/Downloads/wiki/wiki/00/14248600_1960-02-06_1984.jpg,171.24,68.03,71.25,102.24,80.06,165.33,170.52,95.51,2
/Users/jishavarun/Downloads/wiki/wiki/00/1427800_1932-05-08_2005.jpg,136,75.54,59.84,118.13,85.15,158.83,89.1,133.6,7
/Users/jishavarun/Downloads/wiki/wiki/00/14393400_1914-05-02_1961.jpg,136,75.54,59.84,118.13,85.15,158.83,89.1,133.6,4
/Users/jishavarun/Downloads/wiki/wiki/00/14393400_1914-05-02_1961.jpg,136,75.54,59.84,118.13,85.15,158.83,89.1,133.6,4
/Users/jishavarun/Downloads/wiki/wiki/00/14393400_1914-05-02_1961.jpg,136,75.54,59.84,118.13,85.15,158.83,89.1,133.6,4
/Users/jishavarun/Downloads/wiki/wiki/00/14429000_1885-11-19_1941.jpg,170.99,76.4,87.32,115,88.46,150.03,205.5,145.88,5
/Users/jishavarun/Downloads/wiki/wiki/00/1479500_1962-10-04_2011.jpg,162.2,76.24,66.37,112.38,98.13,196.28,159.32,126.12,4
/Users/jishavarun/Downloads/wiki/wiki/00/15208300_1974-06-02_2011.jpg,162.2,76.24,66.37,112.38,98.13,196.28,159.32,126.12,3
/Users/jishavarun/Downloads/wiki/wiki/00/15340800_1989-07-13_2008.jpg,198.02,73.06,87.57,123.58,102.04,136.11,219.94,90.09,1
/Users/jishavarun/Downloads/wiki/wiki/00/1536200_1982-06-25_2014.jpg,159.71,92,75.66,128.32,88.68,197.96,126.39,171.97,3
/Users/jishavarun/Downloads/wiki/wiki/00/15446600_1975-09-14_2005.jpg,142.39,75.5,58.69,94.34,72.84,184.72,116.43,119.52,2
/Users/jishavarun/Downloads/wiki/wiki/00/15472000_1979-03-07_2015.jpg,147.57,67.01,76.66,106.3,84.21,118.13,176.75,75.03,3
/Users/jishavarun/Downloads/wiki/wiki/00/15515600_1954-01-22_2006.jpg,159.25,74.24,63,115.45,84.1,206.08,136.39,130.97,5
/Users/jishavarun/Downloads/wiki/wiki/00/1554700_1965-12-07_2013.jpg,181.34,77.32,72.01,83.1,98.41,203.41,179.84,107.65,4
/Users/jishavarun/Downloads/wiki/wiki/00/15550600_1973-11-01_2000.jpg,226.17,81.49,89.02,120.93,106.79,152.08,175.64,92.65,2
/Users/jishavarun/Downloads/wiki/wiki/00/1578500_1919-06-14_1959.jpg,165.44,70.03,82.04,122.07,88.36,120.16,175.01,102.96,3
/Users/jishavarun/Downloads/wiki/wiki/00/1591900_1970-04-13_2007.jpg,174,87.57,76.94,107.52,106,171.17,123.4,122.79,3
/Users/jishavarun/Downloads/wiki/wiki/00/1638200_1931-01-30_2007.jpg,200.16,83.02,84.01,160,95.02,168.57,152.99,114.59,7
/Users/jishavarun/Downloads/wiki/wiki/00/1653100_1980-01-25_2008.jpg,177.91,64.12,82.15,108.26,72.84,107.82,183.83,152.47,2
/Users/jishavarun/Downloads/wiki/wiki/00/16642400_1989-09-30_2010.jpg,177.91,64.12,82.15,108.26,72.84,107.82,183.83,152.47,2
/Users/jishavarun/Downloads/wiki/wiki/00/1687000_1932-12-12_1962.jpg,153.26,75.01,80.81,127,82.39,152.34,192.49,68.01,2
/Users/jishavarun/Downloads/wiki/wiki/00/1694300_1928-03-16_1960.jpg,171.14,83.02,82,89.81,95.34,179.86,182.78,142.21,3
/Users/jishavarun/Downloads/wiki/wiki/00/1698400_1958-12-10_2008.jpg,161.01,65.12,67.19,93.65,83.02,118.64,174.98,97.02,4
/Users/jishavarun/Downloads/wiki/wiki/00/1716100_1958-02-13_2013.jpg,187.38,87.66,82,124.04,93.26,189.18,165.61,110.06,5
/Users/jishavarun/Downloads/wiki/wiki/00/1741200_1967-06-28_2012.jpg,233.01,87.05,84.05,116,106.04,182.84,181.1,119.92,4
/Users/jishavarun/Downloads/wiki/wiki/00/17470000_1985-09-13_2009.jpg,218.66,104.05,104.02,159.39,108.37,189.91,190.05,140.25,2
/Users/jishavarun/Downloads/wiki/wiki/00/17509100_1945-02-09_2005.jpg,234.2,90.67,86.15,111,109.04,203.73,185,125.23,5
/Users/jishavarun/Downloads/wiki/wiki/00/17560900_1982-06-05_2009.jpg,234.2,90.67,86.15,111,109.04,203.73,185,125.23,2
/Users/jishavarun/Downloads/wiki/wiki/00/1765800_1933-06-27_1951.jpg,165.11,95.34,88.68,144.42,106.02,200.32,166.96,99.57,1
/Users/jishavarun/Downloads/wiki/wiki/00/1765800_1933-06-27_1951.jpg,168.3,81.3,84.15,145.06,96.05,144.24,179.47,102,1
/Users/jishavarun/Downloads/wiki/wiki/00/176900_1936-03-20_2013.jpg,168.3,81.3,84.15,145.06,96.05,144.24,179.47,102,7
/Users/jishavarun/Downloads/wiki/wiki/00/1778000_1960-01-17_2014.jpg,148.1,59.14,61.2,92.14,85.29,150.31,164.16,77.67,5
/Users/jishavarun/Downloads/wiki/wiki/00/1806600_1981-03-30_2011.jpg,176.56,83.01,89.63,118.34,105.3,155.65,178.83,90.8,2
/Users/jishavarun/Downloads/wiki/wiki/00/1836500_1984-01-31_2015.jpg,155.54,57.43,81.91,123.1,82.39,95.17,182.59,135.24,3
/Users/jishavarun/Downloads/wiki/wiki/00/18407100_1917-10-18_1958.jpg,152.05,86.15,84.29,116.02,82.49,163.09,163.77,105.69,4
/Users/jishavarun/Downloads/wiki/wiki/00/1859900_1911-03-21_1969.jpg,204.07,85.05,85.51,120.34,97.02,144.03,152.17,101.98,5
/Users/jishavarun/Downloads/wiki/wiki/00/1859900_1911-03-21_1969.jpg,196.46,73.68,76.66,160.64,112.18,166.09,186.39,82.38,5
/Users/jishavarun/Downloads/wiki/wiki/00/18763900_1943-01-23_2008.jpg,149.27,58.03,66.91,103.24,84.15,121.99,161.87,78.01,6
/Users/jishavarun/Downloads/wiki/wiki/00/18890000_1975-04-01_2009.jpg,167.76,77.78,81.61,113,81.39,159.55,182.69,117.11,3
/Users/jishavarun/Downloads/wiki/wiki/00/18890700_1918-10-07_1974.jpg,169.71,76.79,77.65,102.4,88.28,168.06,183.84,126.14,5
/Users/jishavarun/Downloads/wiki/wiki/00/1896500_1978-05-08_2009.jpg,169.71,76.79,77.65,102.4,88.28,168.06,183.84,126.14,3
/Users/jishavarun/Downloads/wiki/wiki/00/18969800_1957-12-10_2009.jpg,169.71,76.79,77.65,102.4,88.28,168.06,183.84,126.14,5
/Users/jishavarun/Downloads/wiki/wiki/00/18994300_1930-08-19_2007.jpg,167.03,79.4,80.31,130.02,100.02,176.18,167.69,94.83,7
/Users/jishavarun/Downloads/wiki/wiki/00/19017900_1982-02-03_2015.jpg,173.42,83.22,72.69,122.8,78.06,176.37,128.7,118.51,3
/Users/jishavarun/Downloads/wiki/wiki/00/19114800_1921-10-22_2009.jpg,185.46,62,66.75,124.1,89.45,110.89,149.65,88.28,8
/Users/jishavarun/Downloads/wiki/wiki/00/1915100_1957-07-20_1990.jpg,251.56,89.99,88.05,127.39,90.09,174.85,171.96,124.78,3
/Users/jishavarun/Downloads/wiki/wiki/00/19248600_1958-05-25_2015.jpg,174.6,77.16,74.67,126.48,92.54,170.63,169.39,74.95,5
/Users/jishavarun/Downloads/wiki/wiki/00/19544100_1906-01-11_1993.jpg,183.01,67.12,65.38,124.49,89.02,152.77,133.32,109.93,8
/Users/jishavarun/Downloads/wiki/wiki/00/19624300_1989-08-10_2010.jpg,183.22,75.24,73.03,111.07,87.09,154.36,140.39,113.85,2
/Users/jishavarun/Downloads/wiki/wiki/00/19624300_1989-08-10_2010.jpg,211.74,80.41,78,101.84,94.64,156.4,145.97,93.92,2
/Users/jishavarun/Downloads/wiki/wiki/00/1967700_1977-04-13_2012.jpg,130.55,69.05,72.01,116.16,75.24,163.22,162.94,84.91,3
/Users/jishavarun/Downloads/wiki/wiki/00/196900_1884-05-20_1940.jpg,191.32,80.65,65.8,122.93,96.77,168.58,123.19,106.89,5
/Users/jishavarun/Downloads/wiki/wiki/00/19792500_1978-10-10_2009.jpg,174.65,91.79,75.54,96.18,86.15,191.41,133.88,130.18,3
/Users/jishavarun/Downloads/wiki/wiki/00/1979400_1978-03-21_2005.jpg,174.65,91.79,75.54,96.18,86.15,191.41,133.88,130.18,2
/Users/jishavarun/Downloads/wiki/wiki/00/19910800_1991-06-26_2011.jpg,185.01,79.16,89.36,151.08,106,141.32,190.61,84.9,1
/Users/jishavarun/Downloads/wiki/wiki/00/20166800_1974-08-01_2012.jpg,185.01,79.16,89.36,151.08,106,141.32,190.61,84.9,3
/Users/jishavarun/Downloads/wiki/wiki/00/20562000_1984-06-27_2013.jpg,172.01,99.02,85.02,128.27,88.05,220.79,153.76,157.89,2
/Users/jishavarun/Downloads/wiki/wiki/00/20613200_1990-03-09_2014.jpg,211.22,88.53,90.8,111.61,99.64,155.55,180.89,139.59,2
/Users/jishavarun/Downloads/wiki/wiki/00/208200_1921-11-03_1966.jpg,163,67.01,63.07,105.57,87.09,168.28,141.11,115.42,4
/Users/jishavarun/Downloads/wiki/wiki/00/20834100_1986-02-15_2009.jpg,154.55,72.44,81.3,135.53,99.32,137.61,201.47,111.31,2
/Users/jishavarun/Downloads/wiki/wiki/00/2085000_1966-07-12_2011.jpg,217.45,91.44,95.08,124.17,110.22,175.72,192.94,97.32,4
/Users/jishavarun/Downloads/wiki/wiki/00/2093100_1980-07-16_2013.jpg,160.01,82.23,78.31,133.14,86.21,163.74,126.2,133.3,3
/Users/jishavarun/Downloads/wiki/wiki/00/2141000_1982-10-31_2008.jpg,145.09,86.02,77.23,115.74,75.06,192.29,154.08,124.81,2
/Users/jishavarun/Downloads/wiki/wiki/00/21452700_1989-04-03_2012.jpg,197.5,76.92,82.61,137.62,93.54,132.19,177.27,87.14,2
/Users/jishavarun/Downloads/wiki/wiki/00/21501500_1980-04-24_2009.jpg,174.11,59.67,71.01,78.1,87.46,122.78,188.86,130.98,2
/Users/jishavarun/Downloads/wiki/wiki/00/21581300_1981-03-03_2009.jpg,174.11,59.67,71.01,78.1,87.46,122.78,188.86,130.98,2
/Users/jishavarun/Downloads/wiki/wiki/00/21581300_1981-03-03_2009.jpg,185.1,72.11,77.03,108.78,96.05,158.78,174.82,85.87,2
/Users/jishavarun/Downloads/wiki/wiki/00/21718500_1986-06-01_2010.jpg,180.11,89.45,83.19,130.27,77.78,165.9,152.55,126.49,2
/Users/jishavarun/Downloads/wiki/wiki/00/21746300_1979-08-04_2009.jpg,144.01,53.49,74.06,139.18,84.2,77.29,187.33,114.28,2
/Users/jishavarun/Downloads/wiki/wiki/00/21750900_1984-06-06_2009.jpg,171.07,61.2,68,98.67,75.17,117.01,187.78,87.37,2
/Users/jishavarun/Downloads/wiki/wiki/00/21988100_1911-06-11_1941.jpg,151.16,84.15,95.04,132.31,80.02,147.94,205.92,112.02,2
/Users/jishavarun/Downloads/wiki/wiki/00/22015000_1925-01-12_2003.jpg,162.26,81.02,71.25,109.07,94.05,191.08,127.2,132.25,7
/Users/jishavarun/Downloads/wiki/wiki/00/2202900_1919-04-24_1999.jpg,175,65.28,69.46,114.35,111.07,149.15,186.38,74.33,7
/Users/jishavarun/Downloads/wiki/wiki/00/2232500_1961-08-22_2007.jpg,168.47,81.49,85.59,105.57,86.88,168.89,190.35,142,4
/Users/jishavarun/Downloads/wiki/wiki/00/2233200_1977-06-26_2008.jpg,167.59,81.5,74.06,112.04,93.34,162.69,130.35,120.1,3
/Users/jishavarun/Downloads/wiki/wiki/00/2233200_1977-06-26_2008.jpg,183.07,69.01,78.52,82.86,86.28,130.06,204.69,128.08,3
/Users/jishavarun/Downloads/wiki/wiki/00/22520700_1975-02-02_2012.jpg,135.3,76.79,62.01,94.59,71.03,174.03,102.47,157.61,3
/Users/jishavarun/Downloads/wiki/wiki/00/22520700_1975-02-02_2012.jpg,169.07,86.02,76.01,114.86,87.01,204.21,156.94,110.54,3
/Users/jishavarun/Downloads/wiki/wiki/00/22520700_1975-02-02_2012.jpg,169.07,86.02,76.01,114.86,87.01,204.21,156.94,110.54,3
/Users/jishavarun/Downloads/wiki/wiki/00/22675200_1981-09-28_2009.jpg,148.86,84.59,71.03,101.02,84.59,202.06,136.67,135.15,2
/Users/jishavarun/Downloads/wiki/wiki/00/2277500_1976-11-04_2009.jpg,177.1,81.02,70.03,122.48,98.08,195.18,150.99,118.22,3
/Users/jishavarun/Downloads/wiki/wiki/00/22822500_1867-12-04_1940.jpg,195.5,91.55,89.68,100.81,99.18,218.8,181.9,128.55,7
/Users/jishavarun/Downloads/wiki/wiki/00/22945600_1991-05-17_2012.jpg,74.97,46.39,69.38,135.37,71.57,75.57,172.63,133.66,2
/Users/jishavarun/Downloads/wiki/wiki/00/2295300_1891-01-10_1960.jpg,145.58,63.51,72.06,140.29,83.22,124.74,168.93,120.07,6
/Users/jishavarun/Downloads/wiki/wiki/00/22964300_1952-04-12_1968.jpg,145.58,63.51,72.06,140.29,83.22,124.74,168.93,120.07,1
/Users/jishavarun/Downloads/wiki/wiki/00/2298900_1966-09-07_2003.jpg,140.51,82.49,85.15,116.43,85.21,140.82,160.17,68.66,3
/Users/jishavarun/Downloads/wiki/wiki/00/2301200_1981-10-22_2011.jpg,158.53,81.22,75.66,140.13,87.97,197.97,159.33,109.66,2
/Users/jishavarun/Downloads/wiki/wiki/00/23300_1962-06-19_2011.jpg,158.53,81.22,75.66,140.13,87.97,197.97,159.33,109.66,4
/Users/jishavarun/Downloads/wiki/wiki/00/23497100_1983-02-21_2013.jpg,184.3,74.33,70.71,127.68,89.81,182.81,156.29,127.22,2
/Users/jishavarun/Downloads/wiki/wiki/00/2376100_1975-12-11_2006.jpg,145.06,94.92,80.16,116,76.01,166.2,119.58,128.76,3
/Users/jishavarun/Downloads/wiki/wiki/00/23804200_1950-03-31_2013.jpg,158.38,76.11,75.11,97.01,91.27,166.72,168.6,110.17,6
/Users/jishavarun/Downloads/wiki/wiki/00/24051800_1974-11-16_2013.jpg,193.09,71.57,73.11,114.07,76.01,130.42,134.06,130.5,3
/Users/jishavarun/Downloads/wiki/wiki/00/2442300_1980-06-23_2012.jpg,193.09,71.57,73.11,114.07,76.01,130.42,134.06,130.5,3
/Users/jishavarun/Downloads/wiki/wiki/00/24434700_1960-04-21_1997.jpg,155.65,74,82.39,120.6,88.06,125.61,190.22,95.02,3
/Users/jishavarun/Downloads/wiki/wiki/00/24503600_1990-05-22_2011.jpg,185.69,86.47,91.05,144.06,99.25,182.64,186.34,80.08,2
/Users/jishavarun/Downloads/wiki/wiki/00/2452600_1967-08-22_2013.jpg,249.58,89.27,88,124,127.32,192.24,183.8,93.3,4
/Users/jishavarun/Downloads/wiki/wiki/00/24594000_1983-09-18_2013.jpg,249.58,89.27,88,124,127.32,192.24,183.8,93.3,2
/Users/jishavarun/Downloads/wiki/wiki/00/2470900_1956-06-04_2012.jpg,249.58,89.27,88,124,127.32,192.24,183.8,93.3,5
/Users/jishavarun/Downloads/wiki/wiki/00/24746800_1990-07-24_2012.jpg,164.11,82.1,82.05,118.04,83.01,164.36,174.36,125.69,2
/Users/jishavarun/Downloads/wiki/wiki/00/24817400_1984-10-25_2011.jpg,142.01,82.15,70.03,130.75,84,192.45,114.38,138.03,2
/Users/jishavarun/Downloads/wiki/wiki/00/2490600_1970-02-04_2013.jpg,152.35,83.82,91.98,100.6,90.24,169.17,208.1,90.14,4
/Users/jishavarun/Downloads/wiki/wiki/00/24910700_1912-07-10_1941.jpg,152.35,83.82,91.98,100.6,90.24,169.17,208.1,90.14,2
/Users/jishavarun/Downloads/wiki/wiki/00/2494800_1977-11-27_2005.jpg,242.12,90.24,88.14,156.39,109.9,183.44,151.86,112.51,2
/Users/jishavarun/Downloads/wiki/wiki/00/24973700_1951-03-22_2008.jpg,180.07,86.21,85.91,162,108.04,155.58,171.82,86.38,5
/Users/jishavarun/Downloads/wiki/wiki/00/25082400_1983-01-27_2011.jpg,127.12,52.47,69.86,111.29,68.88,94.9,194.47,93.3,2
/Users/jishavarun/Downloads/wiki/wiki/00/25082400_1983-01-27_2011.jpg,183,88.05,97.25,128.32,114.07,166.05,197.01,123.04,2
/Users/jishavarun/Downloads/wiki/wiki/00/25168600_1990-08-16_2014.jpg,183,88.05,97.25,128.32,114.07,166.05,197.01,123.04,2
/Users/jishavarun/Downloads/wiki/wiki/00/25192500_1989-02-25_2013.jpg,172.19,79,78.23,104.17,91.05,180.94,178.76,97.41,2
/Users/jishavarun/Downloads/wiki/wiki/00/2569000_1972-07-04_2007.jpg,139.64,67.19,76.69,102.12,69.05,83.87,152.62,106.92,3
/Users/jishavarun/Downloads/wiki/wiki/00/25753700_1986-07-23_2011.jpg,258.28,94.26,96.02,102,112.11,182.61,178.93,126.24,2
/Users/jishavarun/Downloads/wiki/wiki/00/25910800_1987-08-11_2009.jpg,144.42,51.35,75,90.47,70.11,77.68,181.71,100.12,2
/Users/jishavarun/Downloads/wiki/wiki/00/25947000_1974-08-30_2013.jpg,198.46,89.05,83.49,102.4,98.99,198.45,166.2,103.75,3
/Users/jishavarun/Downloads/wiki/wiki/00/2612500_1977-03-26_2009.jpg,172.57,71.2,78.26,135.15,88.77,135.72,161.9,103.87,3
/Users/jishavarun/Downloads/wiki/wiki/00/2616800_1939-09-14_2007.jpg,242.13,82,78.64,130.1,112.04,162.42,153.76,121.31,6
/Users/jishavarun/Downloads/wiki/wiki/00/262800_1943-04-06_2011.jpg,122.26,69.63,58.31,89.27,67.47,177.63,118.05,145.58,6
/Users/jishavarun/Downloads/wiki/wiki/00/26457400_1918-05-17_1952.jpg,141.51,60.01,75.66,89.82,73.11,90.21,165.36,115.07,3
/Users/jishavarun/Downloads/wiki/wiki/00/26553500_1986-04-23_2010.jpg,152.74,80.62,67.36,73.01,80.4,171.33,121.16,159.39,2
/Users/jishavarun/Downloads/wiki/wiki/00/2669900_1933-07-29_1968.jpg,157.71,71.45,73.76,144.68,88.28,150.46,166.56,93.38,3
/Users/jishavarun/Downloads/wiki/wiki/00/2690900_1963-03-12_2010.jpg,175.64,70.03,69.35,99.25,80.1,147.78,142.57,94.37,4
/Users/jishavarun/Downloads/wiki/wiki/00/2690900_1963-03-12_2010.jpg,167.2,81.88,77.32,104.09,83.38,175.76,184.46,111.13,4
/Users/jishavarun/Downloads/wiki/wiki/00/2690900_1963-03-12_2010.jpg,162.44,84,70.11,103.41,95.19,215.46,141.17,141.24,4
/Users/jishavarun/Downloads/wiki/wiki/00/2690900_1963-03-12_2010.jpg,173.57,80,77.93,152.21,94.26,183.74,194.05,82.76,4
/Users/jishavarun/Downloads/wiki/wiki/00/2690900_1963-03-12_2010.jpg,187.01,74.03,73.11,124.58,91.01,167.91,154.36,111.14,4
/Users/jishavarun/Downloads/wiki/wiki/00/2690900_1963-03-12_2010.jpg,202.02,91.44,88.09,112.81,109.17,208.87,199.01,137.06,4
/Users/jishavarun/Downloads/wiki/wiki/00/2690900_1963-03-12_2010.jpg,161.99,79.76,77.13,124.45,82.57,182.69,159.4,112.61,4
/Users/jishavarun/Downloads/wiki/wiki/00/2690900_1963-03-12_2010.jpg,145.58,65.76,61.13,126.89,75.43,161.4,134.82,126.57,4
/Users/jishavarun/Downloads/wiki/wiki/00/2690900_1963-03-12_2010.jpg,124.62,72.18,55.15,130.63,81.49,182.04,91.76,135.95,4
/Users/jishavarun/Downloads/wiki/wiki/00/27104100_1989-04-02_2011.jpg,173.42,79.63,77.32,117.07,91.14,172.09,149.92,130.17,2
/Users/jishavarun/Downloads/wiki/wiki/00/27210600_1960-06-10_2012.jpg,170.11,77.23,76.06,90.67,84.1,200.91,173.86,119.37,5
